t=2025-12-19T11:46:15-0500 lvl=info msg="no configuration paths supplied"
t=2025-12-19T11:46:15-0500 lvl=info msg="using configuration at default config path" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-19T11:46:15-0500 lvl=info msg="open config file" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=26f6f296d7ef l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=9b80025c5341 l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=4e3598f88976 l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=5311e50e990a l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=6610fadc7cd4 l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=ac164c6e7448 l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:16-0500 lvl=info msg="join connections" obj=join id=f55220f13eaf l=[::1]:5173 r=196.20.219.201:10021
t=2025-12-19T12:26:45-0500 lvl=info msg="join connections" obj=join id=06d201de3dba l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:28:35-0500 lvl=info msg="join connections" obj=join id=df77062ebec9 l=[::1]:5173 r=[2a01:111:f400:fe5b::100]:24886
t=2025-12-19T12:28:36-0500 lvl=info msg="join connections" obj=join id=8613b5f0cfc2 l=[::1]:5173 r=147.9.2.204:6893
t=2025-12-19T12:28:36-0500 lvl=info msg="join connections" obj=join id=9b627deddbe4 l=[::1]:5173 r=147.9.2.204:6893
t=2025-12-19T12:28:36-0500 lvl=info msg="join connections" obj=join id=13f557b248b6 l=[::1]:5173 r=147.9.2.204:6893
t=2025-12-19T12:28:36-0500 lvl=info msg="join connections" obj=join id=bb6c7f1580f1 l=[::1]:5173 r=147.9.2.204:6893
t=2025-12-19T12:28:36-0500 lvl=info msg="join connections" obj=join id=9a03542c038f l=[::1]:5173 r=147.9.2.204:26570
t=2025-12-19T12:28:45-0500 lvl=info msg="join connections" obj=join id=e2e5b209fcf5 l=[::1]:5173 r=147.9.2.204:38307
t=2025-12-19T12:37:29-0500 lvl=info msg="join connections" obj=join id=538b7ffa405e l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:29-0500 lvl=info msg="join connections" obj=join id=7863d3dbfa17 l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:29-0500 lvl=info msg="join connections" obj=join id=14e023b62009 l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:30-0500 lvl=info msg="join connections" obj=join id=dbab9351f585 l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:30-0500 lvl=info msg="join connections" obj=join id=895c3417c83f l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:30-0500 lvl=info msg="join connections" obj=join id=b2f6f8512ef7 l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:30-0500 lvl=info msg="join connections" obj=join id=3e44c8b5e23f l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
t=2025-12-19T12:37:30-0500 lvl=info msg="join connections" obj=join id=b5fe2d1c7019 l=[::1]:5173 r=[2600:4040:2722:3200:6cfb:1e7a:b9e6:1c31]:44224
